Rating,Review_title,Review_comment,Hotel_site
5,"We had an amazing time at Adama Haile Resort, highly recommended??!",enjoyed food staff member wonderfully kind stay location perfect,Adama
5,Exceptional,pleasant staff room space facility exceptional,Adama
4,Superb,vere professional staff food vary tasty,Adama
3,Enjoyed my stay and the staff's friendliness.,good service engaged answer question resolve problem especially service staff excellent attentive spa also provided great service cleanliness sitting area lounge,Adama
5,very nice,staff nice bad parking,Adama
4,"The location is great and it is conducive for business, rest and pleasure.",breakfast good food cold location fantastic conducive work rest secured internet not use hopefully effort made install secured internet since place far away city,Adama
3,Good,gym health center liked food not tastefull european customer,Adama
5,Exhilarating,breakfast yummy generous room r super clean organized classy pool nice well sauna bath work macchiato cappuccino breakfast menu also fix steam bath soon possible,Adama
1,I wish if I could write more positive about the property,location property room water morning untrained staff,Adama
3,Pleasant,room staff spa food vegeterian fasting food chilly hot better milder lot variety,Adama
1,It was a nice business meeting with helpful locals. The town is unattractive.,venue chosen organizer stay among best available not pay food course local sufficiently mild western visitor manage reasonable breakfast fruit juice squeezed one type per day lucky get fantastic pineapple pulp inside buffet lunch manageable plain rice ingera make good work afterlunch careful choose dinner made spicy mistake misunderstanding fault nice three layer fruit spritz word not know italian spritz avocado mango whatever green top local coffee among best lady not overcook room bathroom awful shower sprayed cold water around another colleague piping hot water also good not understand maid room not mind make bed also home problem electronic payment lucky different wireless different area important one meeting venue internet also mike unreliable,Adama
4,Very good,good,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
3,Good,good,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
4,Superb,superb,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
5,Exceptional,exceptional,Adama
4,Very good,good,Adama
5,Exceptional,exceptional,Adama
4,Very good,good,Adama
4,over all it was nicce,nicce,Adama
4,Very good,good,Adama
4,Superb,superb,Adama
3,Good,good,Adama
3,Pleasant,pleasant,Adama
3,Pleasant,pleasant,Adama
3,Pleasant,pleasant,Adama
1,Very poor,poor,Adama
4,Very good,good,Adama
5,Exceptional,exceptional,Adama
4,Very good,good,Adama
5,Exceptional,exceptional,Adama
