Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
5,Exceptional,swimming room breakfast staff response excellent swimming room breakfast staff,Addis Ababa,0.5719,Positive,Exceptional swimming room breakfast staff response excellent swimming room breakfast staff,0,Room Quality and Comfort
4,"One of the best places to stay in Addis Ababa, will definitely come back. Highly recommended",hotel brand new inviting staff welcoming helpful feel safe secure around hotel airport shuttle service great friendly helpful driver order room service food sometimes not warm general literature hotel amenity room service menu etc missing suite bar inside suite fridge glass drink well towel dry dish,Addis Ababa,0.9667,Positive,"One of the best places to stay in Addis Ababa, will definitely come back. Highly recommended hotel brand new inviting staff welcoming helpful feel safe secure around hotel airport shuttle service great friendly helpful driver order room service food sometimes not warm general literature hotel amenity room service menu etc missing suite bar inside suite fridge glass drink well towel dry dish",3,Scenic Views and Surroundings
0,Bad,pool stayed everyone wear pool cap man usa not wear pool cap world traveler noone ever asked wear pool cap wife long braid not fit weekend ruined something state website rate day weekend ruined came pool,Addis Ababa,0.4585,Negative,Bad pool stayed everyone wear pool cap man usa not wear pool cap world traveler noone ever asked wear pool cap wife long braid not fit weekend ruined something state website rate day weekend ruined came pool,2,Reception and Check-In Experience
3,Pleasant,dislike front desk,Addis Ababa,-0.3818,Negative,Pleasant dislike front desk,4,Food Quality and Dining Experience
1,Poor,lounge bar service bad,Addis Ababa,-0.5423,Negative,Poor lounge bar service bad,0,Room Quality and Comfort
3,It is very disappointing that till now booking.com nor the hotel refunded the advance payment.,good upon checkin july told assistant front office manager mr awet ghirmy advance payment etb charged adcb debit account never received hotel pay money returned back assistance matter appreciated,Addis Ababa,0.7,Neutral,It is very disappointing that till now booking.com nor the hotel refunded the advance payment. good upon checkin july told assistant front office manager mr awet ghirmy advance payment etb charged adcb debit account never received hotel pay money returned back assistance matter appreciated,3,Scenic Views and Surroundings
1,Poor,staff horrible u,Addis Ababa,-0.5423,Negative,Poor staff horrible u,0,Room Quality and Comfort
3,Very Nice property but far from the activities,staff helpful especially marketing lady keroli gave u nice tour hotel premise breakfast expectation especially bread dull dead,Addis Ababa,-0.4482,Negative,Very Nice property but far from the activities staff helpful especially marketing lady keroli gave u nice tour hotel premise breakfast expectation especially bread dull dead,1,Staff Helpfulness and Service
0,Bad,beautiful luxury hotel everything new hotel not internet day elevator not working day tv room not work phone room not work treadmill gym not work trip work trip impossible get work done hotel staff kept promising internet issue fixed asked cancel reservation remaining day left refused reimburse make new booking another hotel still not reimbursed even though manager promised get money soon receive email booking com sent several email response haile grand,Addis Ababa,0.836,Negative,Bad beautiful luxury hotel everything new hotel not internet day elevator not working day tv room not work phone room not work treadmill gym not work trip work trip impossible get work done hotel staff kept promising internet issue fixed asked cancel reservation remaining day left refused reimburse make new booking another hotel still not reimbursed even though manager promised get money soon receive email booking com sent several email response haile grand,4,Food Quality and Dining Experience
2,Disappointing,added billing not disable checkout,Addis Ababa,0,Negative,Disappointing added billing not disable checkout,4,Food Quality and Dining Experience
